t,x,y,z,roll,pitch,yaw,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,ax,ay,az,wx_dot,wy_dot,wz_dot,m1,m2,m3,m4
10.58,1.989086911892558,-0.20864624831931866,1.6500000000000001,-0.04517611922936913,-0.180725386124907,0.03346430793926915,0.9955607393900041,-0.02098139018466835,-0.09058047517189419,0.014620977011847317,0.19998742901406452,1.906539805048994,0.0,0.16740361140237356,-0.08002297122777571,4.2213378663280565e-05,-1.8065537783075067,0.3905966418992344,0.0,0.12820019939900063,0.14525766825759165,1.6670958815322157e-05,0.12416444262088136,0.12482194716338788,0.12539863321915004,0.12474497582098543
10.59,1.9909972809560965,-0.1895516479100883,1.6500000000000001,-0.043502186440038865,-0.18151755483007062,0.033500469974522586,0.9955420220241173,-0.02013911006641429,-0.09096287005149423,0.014705607837139843,0.1818748061697275,1.9103618910773514,0.0,0.16868024040652835,-0.07856115488935757,4.2380316730719625e-05,-1.8140370696976875,0.3736086046154611,0.0,0.12711338079065687,0.14710337753819427,1.6716680207966295e-05,0.12417156225554375,0.12483740221527855,0.12540917791604517,0.12474719565174308
10.6,1.9927260564987852,-0.17041966949504586,1.6500000000000001,-0.04181521060266199,-0.18229508504907804,0.03353464746832164,0.9955232399153185,-0.01929059311379907,-0.09133777026732227,0.014790656794701226,0.16368809254998956,1.91401337726706,0.0,0.1699458790181867,-0.07708090367701183,4.254771226743989e-05,-1.8213678819154844,0.3564950185441416,0.0,0.12600209223437575,0.14894449461334905,1.676245268093096e-05,0.12417877450780546,0.1248529291638197,0.12541968406545462,0.12474939766775128
10.61,1.9942725050899288,-0.1512520262420973,1.6500000000000001,-0.04011530507988629,-0.18305778893026423,0.0335668721779349,0.9955043928480353,-0.01843589738781763,-0.09170508381489645,0.014876125512825166,0.14542882323177478,1.9174930136439432,0.0,0.17120028225121586,-0.07558226499709059,4.2715565784338244e-05,-1.828544329994419,0.33925706404634265,0.0,0.12486627800838701,0.1507807215725368,1.6808276168817082e-05,0.12418608022759656,0.12486852751439459,0.1254301509213133,0.12475158246747728
10.620000000000001,1.995635908752392,-0.13205044376303587,1.6500000000000001,-0.038402586145313146,-0.1838054791209394,0.03359717753846998,0.9954854806055765,-0.01757508219715334,-0.09206471896287412,0.014962015624060658,0.12709855212192048,1.9207995621741538,0.0,0.17244320457835444,-0.07406528924556109,4.288387779081623e-05,-1.8355645342162967,0.3218959472925862,0.0,0.12370588562737317,0.15261175841745078,1.6854150485835773e-05,0.12419348026228945,0.12488419676039224,0.12544057774018313,0.12475375066142318
10.63,1.996815565150692,-0.11281665999276229,1.6500000000000001,-0.03667717299378647,-0.1845379688044631,0.03362559867145868,0.9954665029701255,-0.016708208100652395,-0.09241658426856453,0.015048328765215056,0.10869885190302513,1.9239317970226681,0.0,0.17367439996376333,-0.07253002982874157,4.305264879405496e-05,-1.8424266204320414,0.30441290032363266,0.0,0.12252086588194211,0.15443730308953366,1.6900075428157024e-05,0.12420097545654125,0.12489993638318679,0.12545096378139842,0.12475590287215939
10.64,1.9978107877785332,-0.09355242506592976,1.6500000000000001,-0.034939187750917616,-0.1852550717376678,0.0336521723926092,0.9954474597227299,-0.015835336909627167,-0.09276058859354769,0.015135066577357083,0.09023131397608813,1.9268885048123716,0.0,0.17489362189599328,-0.07097654318377042,4.322187929937937e-05,-1.8491287203849165,0.2868091811077893,0.0,0.1213111728822297,0.15625705149757627,1.6946050741643848e-05,0.12420856665213523,0.12491574585209922,0.1254613083072282,0.12475803973435846
10.65,1.9986209061457518,-0.07425950119098228,1.6500000000000001,-0.033188755481824754,-0.18595660228862262,0.0336769372187044,0.9954283506432953,-0.01495653168998523,-0.09309664111939735,0.015222230705819849,0.0716975483998925,1.9296684848836996,0.0,0.17610062342140792,-0.06940488879879005,4.3391569808887837e-05,-1.8556689720360904,0.2690860735946705,0.0,0.12007676409818979,0.15807069754915776,1.69920762835285e-05,0.1242162546878092,0.12493162462438663,0.12547161058302853,0.12476016189482424
10.66,1.9992452659646371,-0.05493966252159822,1.6500000000000001,-0.03142600419906848,-0.18664237547472814,0.033699933373624785,0.9954091755105745,-0.014071856764182551,-0.093424651363507,0.015309822800203786,0.05309918382712402,1.9322705495547978,0.0,0.17729515717795707,-0.06781512923278726,4.356172082504994e-05,-1.8620455198925292,0.25124488776537846,0.0,0.11881760040166195,0.1598779331819719,1.703815187461405e-05,0.12422404039909858,0.12494757214520939,0.12548186987741658,0.12476227001250755
10.67,1.9996832293355964,-0.03559469502553419,1.6500000000000001,-0.02965106486976478,-0.18731220700113246,0.03372120279347633,0.9953899341021603,-0.0131813777129986,-0.09374452919501644,0.015397844514379595,0.034437867437203895,1.9346935243821655,0.0,0.17847697542944116,-0.06620733013515061,4.373233284638012e-05,-1.8682565153371682,0.233286959679054,0.0,0.11753364610929684,0.16167844839337295,1.7084277257294056e-05,0.1242319246181747,0.12496358784759842,0.1254920854624366,0.12476436475853381
