t,x,y,z,roll,pitch,yaw,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz,ax,ay,az,wx_dot,wy_dot,wz_dot,m1,m2,m3,m4
18.620000000000005,0.7250709015485248,1.8639399635523697,1.25,-0.16361735628650667,-0.42585617925180397,1.6322009405216367,0.6799363153586079,0.09871186624794853,-0.20247123423288924,0.6978165760618026,-2.883282131120072,1.1215940508328743,0.0,0.663692697763985,-0.1707954633073939,-0.0002798628207398568,-1.5019733019380563,-4.550710909269927,0.0,0.10387142109902214,0.9743747468151515,6.771168543154293e-05,0.13403627217820652,0.1384427127094221,0.13890393377225765,0.1345131190146032
18.630000000000003,0.6961759201284048,1.874923755312031,1.25,-0.15709440512073994,-0.4274945719846711,1.6324889293029723,0.6794375054511566,0.10154860039635338,-0.20071650583870287,0.6984020634475196,-2.897929029304158,1.0760269065484658,0.0,0.6646600828753626,-0.16105638070728406,-0.0002791859668548474,-1.4287686180199684,-4.5661335459342896,0.0,0.08963348055247566,0.9733388702935664,6.765894518742654e-05,0.13402841804215657,0.13843017630507098,0.13882712846168904,0.13444098380151023
18.640000000000004,0.66713819680392,1.885451305752873,1.25,-0.15055130140443918,-0.4290384517422291,1.632748967245552,0.678940061959001,0.10435320006101517,-0.1989232333228428,0.6989852281332699,-2.9118438603220933,1.0303115526890538,0.0,0.6654853673750345,-0.15132868590152257,-0.00027850964183610827,-1.3555059909650484,-4.5803711363854225,0.0,0.07545274555624815,0.9720979402432036,6.760591797841387e-05,0.13402098712088853,0.1384171374010977,0.13875007895304076,0.13436953003851887
18.650000000000002,0.6379650519663462,1.895521192830504,1.25,-0.14398990828520855,-0.4304876847234809,1.6329823651445876,0.6784439854500186,0.1071251688709684,-0.19709200668496724,0.6995660781527034,-2.9250261406865716,0.984459820815568,0.0,0.6661691377864876,-0.14161442190242,-0.00027783384849527915,-1.2822044118922107,-4.59342659484276,0.0,0.06133209311972587,0.9706534807326583,6.755260815172193e-05,0.13401396939710636,0.13840359286156284,0.13867279509749236,0.13429876069645558
18.660000000000004,0.6086638098861485,1.9051321126197203,1.25,-0.1374121026069479,-0.4318421682027134,1.6331904514654108,0.6779492764583338,0.10986402114254737,-0.19522342167043136,0.7001446215170838,-2.9374755761455313,0.9384835118682053,0.0,0.666712009237429,-0.1319156162868694,-0.00027715858967307383,-1.2088827507843243,-4.60530313020516,0.0,0.047274366815586166,0.9690070544517634,6.749901043240358e-05,0.13400735484223403,0.138389539712478,0.1385952867583257,0.1342286785827969
18.670000000000005,0.5792417968274534,1.9142828789936202,1.25,-0.13081977330726782,-0.4331018307415643,1.6333745706381604,0.6774559354845465,0.11256928193022578,-0.19331807958118122,0.7007208662152963,-2.9491920604495463,0.8923943932372954,0.0,0.6671146251227993,-0.12223428081338472,-0.0002764838682866311,-1.1355597522070058,-4.616004242733514,0.0,0.03328237624736219,0.9671602620638111,6.744512646011946e-05,0.13400113341812542,0.13837497514250002,0.1385175638073069,0.13415928634288468
18.680000000000003,0.5497063391751167,1.922972423273587,1.25,-0.12421481977737839,-0.4342666323658782,1.6335360813168478,0.6769639629959588,0.11524048707420854,-0.1913765870866118,0.7012948202138568,-2.960175674076778,0.8462041958676952,0.0,0.6673776567623763,-0.11257241104559318,-0.00027580968714387144,-1.062254031104635,-4.625533720678829,0.0,0.01935889660094059,0.9651147415243228,6.739095945937357e-05,0.13399529507992267,0.1383598965020978,0.13843963612244425,0.13409058646014435
18.690000000000005,0.5200647615747448,1.9311997938504974,1.25,-0.11759915018868515,-0.43533656470663296,1.633676354607021,0.6764733594268005,0.11787718324479746,-0.18939955603444047,0.7018664914569211,-2.970426682916296,0.7999246113971543,0.0,0.6675018030548181,-0.10293198598289827,-0.0002751360490974436,-0.9889840686739357,-4.6338956368574715,0.0,0.005506668225019329,0.9628721673913148,6.733650761217569e-05,0.13398982977894194,0.1383443013025602,0.13836151358586715,0.1340225812563132
18.700000000000003,0.49032438508604864,1.938964155777509,1.25,-0.11097467979048856,-0.4363116511043241,1.6337967722664173,0.6759841251784545,0.12047892798354841,-0.1873876032616461,0.702435887866295,-2.979945536910559,0.753567289329121,0.0,0.6674877901268766,-0.09331496769776688,-0.0002744629569916279,-0.9157682083155043,-4.641094345175172,0.0,-0.008271603846043973,0.9604342501501536,6.728177244577638e-05,0.13398472746479148,0.13832818721603343,0.13828320608074138,0.13395527289237147
18.710000000000004,0.46049252534999946,1.946264790334753,1.25,-0.10434332918334777,-0.43719194667630035,1.633898724883129,0.6754962606196818,0.12304528974122891,-0.18534135040553001,0.7030030173414468,-2.988732868657805,0.7071438342405929,0.0,0.6673363709778972,-0.0837233009798952,-0.0002737904136485281,-0.8426246516638662,-4.647134477101392,0.0,-0.021973250323048532,0.9578027355243975,6.722675337314521e-05,0.13397997808821446,0.1383115520746228,0.1382047234890566,0.1338886633688114
